player_id,year,hometown,homestate,high_school,previous_school_clean,year_clean,hs_clean,hometown_clean,state_clean,country_clean
6184,Senior,Lubbock,Texas,Mesquite,Cisco College,Senior,Mesquite,"LUBBOCK, TEXAS",TX,USA
6186,Sophomore,East Liverpool,Ohio,Beaver Local,,Sophomore,Beaver Local,"EAST LIVERPOOL, OHIO",OH,USA
6189,Freshman,Shelby,Ohio,Shelby,,Freshman,Shelby,"SHELBY, OHIO",OH,USA
3299,Senior,Cincinnati,Ohio,Princeton,Wabash Valley CC,Senior,Princeton,"CINCINNATI, OHIO",OH,USA
3307,Senior,Hundred,WVa.,North Marion,,Senior,North Marion,"HUNDRED, WVA",WV,USA
3309,Freshman,Huntington,WVa.,Huntington,,Freshman,Huntington,"HUNTINGTON, WVA",WV,USA
3306,Junior,Mt. Washington,Kentucky,Bullitt East,Georgetown College,Junior,Bullitt East,"MT WASHINGTON, KY",KY,USA
3313,Sophomore,Pickerington,Ohio,Pickerington Central,Augusta University,Sophomore,Pickerington Central,"PICKERINGTON, OHIO",OH,USA
3308,Freshman,Hermitage,Pennsylvania,West Middlesex,,Freshman,West Middlesex,"HERMITAGE, PA",PA,USA
3300,Senior,Reynoldsburg,Ohio,Reynoldsburg,,Senior,Reynoldsburg,"REYNOLDSBURG, OHIO",OH,USA
3303,Graduate Student,Junction City,Kan,Junction City,Coffeyville CC,Graduate Student,Junction City,"JUNCTION CITY, KAN",KS,USA
3310,Senior,Fairmont,WVa.,Fairmont Senior,Eastern Kentucky,Senior,Fairmont Senior,"FAIRMONT, WVA",WV,USA
