player_id,name,height_clean,height_ft,height_in,total_inches
5128,Sidney Tinner,"5'10""",5,10,70
7319,Anzya Cook,"5'3""",5,3,63
7318,Carmen Chandler,"5'8""",5,8,68
7324,Mariah Moody,"5'5""",5,5,65
7315,Savannah Cannon,"5'3""",5,3,63
7323,Shanece Mitchell,"5'7""",5,7,67
7328,Alexis Burce,"5'8""",5,8,68
7325,Ianna Odulaja,"5'4""",5,4,64
7320,Mariah Corry,"5'8""",5,8,68
7331,Beyonce Jones,"5'2""",5,2,62
7326,Amaya Richardson,"5'7""",5,7,67
7327,Tyra Sullivan,"6'2""",6,2,74
7317,Essence Caviness,"5'5""",5,5,65
7316,Janelle Carter,"5'10""",5,10,70
7334,Suniyah Rollins,"5'7""",5,7,67
7329,Leah Dawson,"5'8""",5,8,68
7335,Albany Wilson,"5'5""",5,5,65
7332,Arin Moore,"6'2""",6,2,74
7322,Kitara Henry,"5'8""",5,8,68
7321,Chelsey Eison,"5'7""",5,7,67
7333,Aricka Moore,"6'2""",6,2,74
7330,Braeden Johnson,"6'2""",6,2,74
6618,Aaliyah Brunny,"6'0""",6,0,72
6619,Katy Darnell,"5'6""",5,6,66
6627,Mahya Lindesmith,"5'7""",5,7,67
6622,Jertaya Hall,"5'10""",5,10,70
6620,Alyssa DeAngelo,"5'10""",5,10,70
6621,Jalen Gibbs,"6'0""",6,0,72
6625,Laney Whitmore,"5'8""",5,8,68
6628,Emily Starn,"5'4""",5,4,64
6629,Noah Harris,"5'10""",5,10,70
6630,Leslie Huffman,"5'10""",5,10,70
6623,Madeline Huffman,"5'5""",5,5,65
6624,Gracey Lamm,"5'5""",5,5,65
6631,Laynie Beresford,"5'8""",5,8,68
6626,Bre Wilson,"5'10""",5,10,70
6632,Zaniya Murray,"5'5""",5,5,65
8315,Ember Cervantes,"5'3""",5,3,63
8322,Audra Vine,"5'4""",5,4,64
8314,Alyssa Adams,"5'8""",5,8,68
8323,Avery Evans,"5'10""",5,10,70
